,상장주식수,등락률,거래량_x,거래대금_x,온실가스 배출량(tCO2-eq),에너지 사용량(TJ),자산총계,자본금,자본총계,매출액,영업이익,순이익,종가,시가총액,거래량_y,거래대금_y,기준가&종가 평균,온실가스/매출액,상장기간,회사명,업종,지역,시장구분,ESG등급,환경,사회,지배구조
370,0.004514260116670179,0.04340317802784798,0.0013569512240440105,0.010735425844763563,0.0003079376241696491,0.0012512081080375101,0.00248738766190161,0.0021453592612998753,0.0026160915302134977,0.005986381466282172,0.053590767872174774,0.058793384507223,0.12409420289855072,0.008014354915299149,0.0031736177398776926,0.015343226635514018,0.0958592132505176,0.0017919720179873846,0.04470617509227388,2401,79,8,2,0,0,1,0
374,0.01078467078082444,0.047500772105041084,0.007425528769393326,0.005472268418057977,0.0007083477195918567,0.0028798683488754796,0.0009240302621689983,0.0012633987060586013,0.0010228367876258528,0.0027714677092441574,0.052347758392233684,0.057753146254216896,0.011231884057971014,0.0017243591002362398,0.03299510098487517,0.014430765373831774,0.008033126293995859,0.0,0.04528677476879692,559,131,1,2,4,4,4,3
375,0.002998338500321478,0.038596552279123585,0.0026703114549102504,0.011248288080992638,0.0003079376241696491,0.0012512081080375101,0.0019655423929976676,0.0018429267178076334,0.003547060345765744,0.001195891525635185,0.0543133712699376,0.06127917434068016,0.0536231884057971,0.002321375652174414,0.004044493483930132,0.00849063168224299,0.04277432712215321,0.0,0.04536971757972878,480,79,8,2,2,5,3,3
376,0.003759566019902481,0.0916390811297528,0.004314426054349585,0.0967438723531783,0.00022806572474121553,0.0009246924222239635,0.00204464681501227,0.002149505328156585,0.0022225661397245336,0.004281515247175138,0.05313615003681207,0.05866434784218063,0.43478260869565216,0.02238539620123949,0.008089856026481743,0.13925233644859814,0.20608695652173914,0.001855647059425243,0.0456600174179903,1363,114,16,1,2,2,2,3
378,0.12188753600502303,0.056992226750938485,0.03509993840662483,0.027666941018557108,0.0010380571760428335,0.0029961079330251025,0.06087431456030547,0.8315517530492019,0.10886068945973501,5.0474429347200965e-05,0.06910935254788927,0.07535485539491976,0.011594202898550725,0.019869397875214325,0.039476092487009284,0.017905134485981307,0.009979296066252589,0.7164447521287527,0.04648944552730892,1509,34,8,2,0,1,1,0
379,0.0015953278320796423,0.07645797356138344,0.001608889333046963,0.02656377193425381,0.0037360596345485295,0.010895175404226418,0.000635057242586896,0.0008923257223830486,0.0011559462164814746,0.00046528392329598923,0.05191235226662153,0.05772827648414385,0.30027173913043476,0.007076186047967731,0.00277593124766638,0.03306931336448598,0.1853416149068323,0.0,0.04657238833824078,1887,30,16,1,2,5,2,3
384,0.03240627972497976,0.028957201456342355,0.013450184401328391,0.002585047392601402,0.0023430059604338874,0.006642635112190789,0.008407586182248277,0.03846697795950859,0.004360910050022258,0.0013556104027888998,0.04960700639195523,0.05316685016112688,0.0020742753623188403,0.0009439731787741976,0.013512176116994463,0.0010970230654205606,0.0022886128364389235,0.008004983207979696,0.04848007298967362,1318,154,7,2,4,4,2,5
386,0.0026770281168363623,0.01603368552922907,0.001557263074558393,0.002923433643779164,0.0006951392544233062,0.002784525768617924,0.001011598420028037,0.0035444264883919344,0.0010777908864331672,0.0003018402915862025,0.0519522877188345,0.05769887110116888,0.01970108695652174,0.0007158275678549667,0.0027245777836698197,0.0020896767757009344,0.025962732919254657,0.0,0.04860448720607142,1624,29,8,1,2,5,2,3
395,0.007829720908929782,0.05712272337760069,0.008600070407786372,0.014331640204321901,0.0006951392544233062,0.002784525768617924,0.001011598420028037,0.0035444264883919344,0.0010777908864331672,0.0003018402915862025,0.0519522877188345,0.05769887110116888,0.020516304347826086,0.0022787316127502585,0.0073986647361977825,0.005822538224299065,0.02008281573498965,0.0,0.04881184423340107,1325,29,1,1,2,5,2,0
413,0.0017796038601472267,0.02863530977724226,0.0010737725014222307,0.001505624827452802,0.001140084144861037,0.004620849985633309,0.002171590629697003,0.010768717649161664,0.0023143901112480402,0.0030698611009488336,0.05312074805654137,0.0586539981214648,0.016304347826086956,0.00042371589779950273,0.0004343976351914175,0.0002778438785046729,0.017734575569358178,0.0008786349728521542,0.049890100775515284,1181,143,8,2,5,2,4,5
416,0.02016080261256501,0.0353558860503456,0.04132345773073811,0.01785926302325393,0.0008850332416564095,0.00267089830995481,0.000691551864483051,0.01364171164381416,0.0009561992486331474,0.0003447750967916771,0.053101877295343484,0.05850998480173952,0.0036503623188405797,0.0010356578635361314,0.007528997194310078,0.0010726426495327103,0.003285714285714286,0.0,0.04997304358644715,1218,34,8,1,2,5,3,2
