종목코드,한글 종목약명,영문 종목명,상장일,시장구분,상장주식수,ESG등급,환경,사회,지배구조,시작일 기준가,종료일 종가,대비,등락률,거래량,거래대금,온실가스 배출량(tCO2-eq),에너지 사용량(TJ)
222040,코스맥스엔비티,"COSMAX NBT, INC.",2015-12-16,KOSDAQ,20628,,,,,8000,5670,-2330,-29.13,42537097,411038,,
241710,코스메카코리아,"COSMECCA KOREA CO.,LTD.",2016-10-28,KOSDAQ,10680,,,,,13250,15050,1800,13.58,25604979,410758,,
5070,코스모신소재,CosmoAM&T,1987-09-28,KOSPI,30087,B,B,C,B,17650,34500,16850,95.47,242449028,9295443,"36,750",668
5420,코스모화학,COSMOCHEMICALCO,1987-07-23,KOSPI,27860,B,B,C,B,10500,13850,3350,31.9,253164271,4201118,"121,370","2,220"
69110,코스온,"COSON Co., Ltd.",2003-10-14,KOSDAQ,23941,,,,,4075,2630,-1445,-35.46,10224109,31309,,
169670,코스텍시스템,Kostek Systems,2022-01-21,KONEX,2868,,,,,,,,,,,,
71950,코아스,KOAS,2005-08-04,KOSPI,30907,B,C,C,B+,1140,1055,-85,-7.46,209506237,300483,,
166480,코아스템,CORESTEM Inc.,2015-06-26,KOSDAQ,15869,,,,,17000,14800,-2200,-12.94,29890335,576878,,
45970,코아시아,CoAsia Corporation,2000-08-03,KOSDAQ,26315,,,,,12050,8550,-3500,-29.05,52475892,538000,,
196450,코아시아옵틱스,CoAsia Optics,2014-06-02,KOSDAQ,41233,,,,,2900,2225,-675,-23.28,53845287,139208,,
29960,코엔텍,"Korea Environment Technology Co., LTD.",2004-06-18,KOSDAQ,50000,C,B,D,C,8760,7990,-770,-8.79,57754394,527689,"411,703",426
2025,코오롱우,KOLON CORPORATION(1P),1989-08-22,KOSPI,1076,,,,,13350,19050,5700,42.7,14997639,346821,,
3075,코오롱글로벌우,KolonGlobalCorporation(1P),1989-12-11,KOSPI,313,,,,,23700,29000,5300,22.36,1243324,45452,,
3070,코오롱글로벌,KolonGlobalCorporation,1978-09-15,KOSPI,25210,B,C,B,B+,19150,22700,3550,18.54,33458633,853928,,
2020,코오롱,KOLON CORPORATION,1975-06-23,KOSPI,12626,B,B,B+,B,21300,29650,8350,39.2,34375344,1192994,,
102940,코오롱생명과학,KOLON LIFE SCIENCE Inc.,2009-04-07,KOSDAQ,11412,B,D,B+,B,18300,34600,16300,89.07,21150670,677357,,
120115,코오롱인더우,KOLON INDUSTRIES(1P),2010-02-01,KOSPI,2768,,,,,24350,28350,4000,16.43,7892056,278807,,
120110,코오롱인더,KOLON INDUSTRIES,2010-02-01,KOSPI,27519,A,B+,A,A,50300,56800,6500,12.92,85513038,6551557,,
950160,코오롱티슈진,"Kolon TissueGene, Inc.",2017-11-06,KOSDAQ,64745,,,,,8010,8010,0,0,0,0,,
138490,코오롱플라스틱,"KOLON PLASTICS, INC.",2011-06-15,KOSPI,38000,B+,B,B+,B+,5410,11300,5890,108.87,353497800,4640184,"108,625","1,822"
21240,코웨이,COWAY,2001-08-07,KOSPI,73800,A,A,A+,B+,66900,67400,500,0.75,53919030,4037383,,
33290,코웰패션,"COWELL FASHION CO.,LTD",1997-10-13,KOSDAQ,88500,C,C,C,B,5890,7650,1760,29.88,224214624,1772019,,
56360,코위버,"COWEAVER Co.,Ltd.",2001-12-04,KOSDAQ,9797,,,,,9000,8300,-700,-7.78,34982091,298906,,
282880,코윈테크,"COWINTECH Co., Ltd",2019-08-05,KOSDAQ,9475,,,,,21967,29450,7483,34.06,66289018,2053971,,
121850,코이즈,"KOYJ.CO.,LTD",2012-09-27,KOSDAQ,16614,,,,,4820,4260,-560,-11.62,520641011,3219725,,
15710,코콤,"KOCOM CO., LTD",1997-09-30,KOSDAQ,17531,,,,,6830,6230,-600,-8.78,55989656,488680,,
52330,코텍,KORTEK CORPORATION,2001-07-10,KOSDAQ,15575,,,,,9970,10250,280,2.81,14123856,151011,,
322780,코퍼스코리아,"COPUS KOREA Co., Ltd.",2019-05-31,KOSDAQ,35756,,,,,2330,2860,530,22.75,439670303,1515217,,
126600,코프라,"KOPLA Co., LTD.",2010-11-12,KOSDAQ,24739,,,,,4945,7950,3005,60.77,291504704,2647902,,
200130,콜마비앤에이치,"KolmarBNH Co., Ltd",2014-07-23,KOSDAQ,29544,B,C,B,B+,48750,34650,-14100,-28.92,36897642,1657914,,
31820,콤텍시스템,ComtecSystems,1997-02-12,KOSPI,121051,C,D,B,C,1181,947,-234,-19.81,598105183,767539,,
294570,쿠콘,coocon Corporation,2021-04-28,KOSDAQ,10092,,,,,,,,,,,,
