,상장주식수,등락률,거래량_x,거래대금_x,온실가스 배출량(tCO2-eq),에너지 사용량(TJ),자산총계,자본금,자본총계,매출액,영업이익,순이익,종가,시가총액,거래량_y,거래대금_y,기준가&종가 평균,온실가스/매출액,상장기간,회사명,업종,지역,시장구분,ESG등급,ESG여부
0,0.0048395910680404,0.04412090947449,0.0032537021170949,0.0108601065977621,0.0011372230816204,0.0036961575634093,0.0012342495403439,0.0031088591313897,0.0016128013399026,0.0015112741036114,0.0537253387835293,0.0591813468322914,0.0496376811594202,0.0034301206772024,0.0050237908747896,0.0097533910280373,0.0349482401656314,0.0262141194192121,0.0088334093642433,149,152,16,2,3,실제
1,0.0029311615119077,0.0314192378127025,0.0028077841929466,0.0090547881830746,0.001047809899699,0.0040670793824935,0.0012912928383121,0.0017968593082886,0.001608339166469,0.0040933700845787,0.0520083218722736,0.0580451301398235,0.0517210144927536,0.0021934435339019,0.0082295374485523,0.0165481044859813,0.0386749482401656,0.0,0.010243437150085,1426,93,8,2,4,실제
2,0.0034171476550205,0.0159597374407871,0.003046114354129,0.0120560978941787,0.0003079376241696,0.0012512081080375,0.000311772954973,0.0020896176957818,0.0001512273024262,0.0,0.0506052148110778,0.0567144604593181,0.053713768115942,0.0025985619084314,0.0068053873839339,0.0139616588785046,0.0478881987577639,0.0,0.0336747812383361,684,122,8,1,4,실제
3,0.0126855617721725,0.0278218808043812,0.0112670626185439,0.006055454603939,0.0003079376241696,0.0012512081080375,0.0007173613696158,0.0014601065447047,0.0010027259479624,0.0003902130972633,0.051683116248425,0.057421133301724,0.006141304347826,0.0010996239226723,0.0037767970934044,0.0009054640560747,0.0060082815734989,0.0,0.0345042093476547,1963,79,8,1,2,실제
4,0.0013624699420669,0.0232283995458717,0.0026905773629291,0.0049511294824342,0.0002801198961258,0.0010722775122116,0.0046950727568645,0.0097415295854117,0.0054056694646685,0.0072377538117969,0.053201226738822,0.0587918929298257,0.0205615942028985,0.0004130548879434,0.0008488332571985,0.0006795023831775,0.0194409937888198,0.0021617632199627,0.0346700949695185,1015,116,10,2,2,실제
5,0.0009902323653704,0.0714034042220008,0.0035851802589948,0.0034666426799376,0.0008850332416564,0.0026708983099548,0.0416896954434391,0.1053312891688149,0.0097751052683396,0.0037636141593841,0.0611945431984632,0.0624191047564637,0.0102355072463768,0.0001511872235283,0.0003021163789582,0.0001204606074766,0.0090186335403726,0.0,0.0348774519968481,1965,25,8,1,4,실제
6,0.0017963562263351,0.0285918109016881,0.001539572502816,0.002711230005896,0.0003488382741913,0.0013818143823629,0.0013093285270178,0.0047693589075021,0.0012560655858326,0.0018372451975635,0.0524171933061778,0.0584144020868933,0.0192028985507246,0.0005026073707341,0.0005930930064956,0.0004477513551401,0.0219668737060041,0.0026703627110703,0.0349189234023141,2397,58,1,2,0,실제
7,0.0315684938919197,0.0406409994301647,0.0145353788502104,0.0169538388779309,0.0007083477195918,0.0028798683488754,0.0105825299832867,0.2173025044086511,0.011673765240904,0.0104608580237458,0.0555001390625379,0.0612295565619542,0.0152626811594202,0.0067776777719986,0.0391872226682512,0.0231166378971962,0.0134757763975155,0.0,0.0351677518351096,2368,131,3,2,0,실제
8,0.0037954160835447,0.0332809896864166,0.0009124811523906,0.0026447035231768,0.0007083477195918,0.0028798683488754,0.0016183988449032,0.0023899772058457,0.0013989431368105,0.0024457919923334,0.0521444344640402,0.058019347159099,0.0384057971014492,0.0020868334353415,0.0010052374739552,0.0015053446261682,0.0320703933747412,0.0,0.0354165802679052,1216,131,16,1,3,실제
9,0.0064171613919608,0.0395274282159806,0.0022094556322498,0.0014820693343883,0.0007700819317328,0.0012107201629966,0.0046768306355772,0.0052986734428754,0.0032561908269278,0.003262189102835,0.0534553371775134,0.060989473481702,0.0084057971014492,0.0007648682131927,0.0023296301428716,0.0007666276074766,0.008047204968944,0.0,0.0354580516733712,1759,63,8,2,2,실제
10,0.0025669650709814,0.0359126716574376,0.0011137218427924,0.0061174656251103,0.001047809899699,0.0040670793824935,0.0016571239674751,0.0015464829375528,0.0018123412463387,0.0016680141783983,0.0521552262269248,0.0579181634189243,0.0704710144927536,0.0026198839281435,0.0020340975413488,0.005541816542056,0.0667908902691511,0.0,0.0357483515116327,1841,2,1,2,4,실제
11,0.0108918859244273,0.0353950350383442,0.010882142591553,0.0339454482248862,0.0005964953442175,0.0024266645769662,0.0020959100006964,0.0016118986590698,0.0025790275374233,0.0023121463970722,0.0522481717671532,0.0576651127474222,0.0434782608695652,0.0066923896931503,0.0071518784228071,0.0121983295327102,0.0355900621118012,0.0,0.0362460083772239,551,129,13,2,3,실제
12,0.005044640030181,0.0578665541495752,0.005693346110513,0.0249594096729953,0.0007083477195918,0.0028798683488754,0.0006234454098734,0.0006389549700285,0.0007212777233813,0.0006731192198561,0.0523613073912398,0.0576043842391043,0.0788949275362318,0.0056689327469706,0.0070024003399125,0.0217117136448598,0.0425051759834368,0.0,0.0362460083772239,1033,131,13,2,2,실제
13,0.0029939828851126,0.0521160028013275,0.0044568203898401,0.0165080498542657,0.0007766366077944,0.0029961079330251,0.0016385205891701,0.018597182885773,0.0022685234201702,0.0001435332165626,0.0515223071223648,0.0561634595926203,0.0540760869565217,0.0023213756521744,0.0267002460383962,0.0550621741121495,0.0445341614906832,0.0,0.0362460083772239,1798,94,8,2,4,실제
