,상장주식수,등락률,거래량_x,거래대금_x,온실가스 배출량(tCO2-eq),에너지 사용량(TJ),자산총계,자본금,자본총계,매출액,영업이익,순이익,종가,시가총액,거래량_y,거래대금_y,기준가&종가 평균,온실가스/매출액,상장기간,회사명,업종,지역,시장구분,ESG등급,환경,사회,지배구조
0,0.00820119458022612,0.03967967428041985,0.0,0.0,0.003544467075031296,0.003940813749244129,0.0015446640384973002,0.001964072045436839,0.008109806814390172,0.004387564339986974,0.23141439476041836,0.2790698361750737,0.0,0.027588793850679354,0.0,0.0,0.03609794628751975,0.0,0.0,386,66,1,1,0,0,0,0
1,0.005277713875030856,0.03967967428041985,0.0,0.0,0.01018703444835029,0.008412279871820715,0.07594842428374182,0.13889344062505268,0.07387449361019621,0.01834479961600378,0.31172974649921503,0.32330095716421675,0.0,0.028406632048049527,0.0,0.0,0.008634478672985783,0.0,0.00017557207233569378,774,21,8,1,0,0,0,0
2,0.016704644488961806,0.03967967428041985,0.0,0.0,0.005326055377164335,0.006606416368774605,0.0014168201496813628,0.0018108401043678089,0.00815141221887549,0.003959570586026159,0.22893403034561557,0.275734522637868,0.0,0.012649048138212316,0.0,0.0,0.0390294233807267,0.0,0.0004096681687832857,171,87,1,1,0,0,0,0
3,0.01996732284059558,0.03967967428041985,0.0,0.0,0.003907553630181056,0.004327490672447624,0.002385276204084351,0.006289039785481357,0.009492604585561074,0.008955194014968923,0.22994277909659316,0.2800980315854012,0.0,0.06981145443519443,0.0,0.0,0.020833333333333336,0.005293442002515304,0.0004096681687832857,465,48,1,1,0,0,0,0
4,0.03452931288967848,0.03967967428041985,0.0,0.0,0.008153323831529054,0.009070453358124534,0.0018944162380383934,0.0048271858065611515,0.009197200345534156,0.00788929703264334,0.22765372195552774,0.2730747114829823,0.0,0.022136551040731596,0.0,0.0,0.0328001579778831,0.0,0.0005852402411189793,1379,110,1,1,0,0,0,0
5,0.029221373481796674,0.03967967428041985,0.0,0.0,0.01018703444835029,0.008412279871820715,0.012612287532583899,0.02502555510890326,0.077360721360645,0.0011773793624481664,0.24394370897425874,0.28793149479777785,0.0,0.07387818389449773,0.0,0.0,0.05583530805687204,0.0,0.0007608123134546733,595,29,8,1,0,0,0,0
6,0.011641867736426637,0.03967967428041985,0.0,0.0,0.01018703444835029,0.008412279871820715,0.07594842428374182,0.13889344062505268,0.07387449361019621,0.01834479961600378,0.31172974649921503,0.32330095716421675,0.0,0.028406632048049527,0.0,0.0,0.008634478672985783,0.0,0.0007608123134546733,1426,21,8,1,0,0,0,0
7,0.010933246910698663,0.03967967428041985,0.0,0.0,0.012060649296719442,0.012809701477188119,0.0076852109762875565,0.01138047096118038,0.036293096558221764,0.03317791035874706,0.2374447177230097,0.2799899906112722,0.0,0.0005262236929155028,0.0,0.0,0.014869668246445499,0.006192577942589646,0.000819336337566571,454,80,8,1,0,0,0,0
8,0.012575500862267285,0.03967967428041985,0.0,0.0,0.021706704552195782,0.017022011789532575,0.0009443108982070844,0.0013197081941425913,0.006628345357171346,0.004433233438027778,0.23107377112356903,0.27570972904046154,0.0,0.007941012620828216,0.0,0.0,0.027349921011058452,0.0,0.0008778603616784691,1380,116,1,1,0,0,0,0
9,0.01380131413900051,0.03967967428041985,0.0,0.0,0.008001289892747242,0.008770161704998418,0.0018428847990335485,0.004673802000337444,0.008145309310460154,0.0014712453058926681,0.22561080890240454,0.2723788487955074,0.0,0.11521818132624816,0.0,0.0,0.06832543443917852,0.0,0.000994908409902265,422,25,11,1,0,0,0,0
10,0.008283475197431502,0.03967967428041985,0.0,0.0,0.01018703444835029,0.008412279871820715,0.07594842428374182,0.13889344062505268,0.07387449361019621,0.01834479961600378,0.31172974649921503,0.32330095716421675,0.0,0.028406632048049527,0.0,0.0,0.008634478672985783,0.0,0.000994908409902265,1460,21,8,1,0,0,0,0
11,0.0037664372324830446,0.03967967428041985,0.0,0.0,0.01018703444835029,0.008412279871820715,0.07594842428374182,0.13889344062505268,0.07387449361019621,0.01834479961600378,0.31172974649921503,0.32330095716421675,0.0,0.028406632048049527,0.0,0.0,0.008634478672985783,0.0,0.0011704804822379586,34,21,8,1,0,0,0,0
12,0.007826733812128162,0.08120370088433214,0.00013982001868481986,0.001002873712433714,0.01018703444835029,0.008412279871820715,0.04777671010833612,0.09036675282989325,0.07387449361019621,0.007924753724843869,0.2661480605033771,0.31177308374226353,0.022222222222222223,0.0033131757358511476,1.0534043896730343e-06,2.881081081081081e-06,0.03880529225908373,0.0,0.0012875285304617544,1073,49,8,1,0,0,0,0
13,0.017769254923823263,0.03967967428041985,0.0,0.0,0.01373477188824783,0.014208320135583739,0.001797006775533124,0.0029501324947541975,0.009456417468354758,0.006453923259809705,0.23117170387236308,0.27549922975652036,0.0,0.011147605252329917,0.0,0.0,0.03637440758293839,0.0,0.0017557207233569378,137,123,1,1,0,0,0,0
14,0.01770208707304336,0.03967967428041985,0.0,0.0,0.006154522458280031,0.006112786254046739,0.002993113625293986,0.0060600271322285345,0.01726700572495843,0.009766061478927184,0.23295023994214092,0.2707322912141015,0.0,0.008858985575284936,0.0,0.0,0.019920023696682464,0.014089041663404049,0.001814244747468836,671,127,7,1,0,0,0,0
15,0.0194702807448243,0.03967967428041985,0.0,0.0,0.003544467075031296,0.003940813749244129,0.0015446640384973002,0.001964072045436839,0.008109806814390172,0.004387564339986974,0.23141439476041836,0.2790698361750737,0.0,0.027588793850679354,0.0,0.0,0.03609794628751975,0.0,0.0019898168198045295,591,66,8,1,0,0,0,0
