,Unnamed: 0	,rcept_no,new_corp_code,dcm_no
176,176,20210317000965,00187415,7885751
177,177,20210311000855,00165060,7867681
178,178,20210407002964,00302078,7989093
179,179,20210218000901,00648721,7809567
180,180,20210709000075,00409681,8137982
181,181,20210316000446,00623661,7878096
182,182,20211201000368,00264714,8299832
183,183,20210330000027,00793155,7927710
184,184,20210329000724,00390408,7925781
185,185,20210604000262,00292434,8099164
186,186,20210319000955,00173999,7899023
187,187,20210611000249,01276026,8106544
188,188,20210322000255,00144012,7902532
189,189,20201130001170,01338724,7597100
190,190,20210322001027,00144164,7906528
191,191,20210323000907,00131832,7911529
192,192,20210322000672,00675594,7904489
193,193,20210318000876,00828789,7891527
194,194,20210323000499,00377018,7909398
195,195,20210322000552,00883980,7903858
196,196,20210322000566,01077577,7903947
197,197,20210315001080,00165413,7876613
198,198,20210319001159,00300548,7900070
199,199,20210319000985,00216434,7899176
200,200,20210319000735,00442455,7897949
201,201,20210616000380,00155355,8111699
202,202,20210323000423,00349811,7909055
203,203,20210325000502,00127255,7917555
204,204,20210319000929,01222867,7898895
205,205,20210316000829,00121534,7879596
206,206,20210319001163,00369170,7900115
207,207,20210319000262,00390365,7895961
208,208,20210326000871,00152686,7921753
209,209,20210517001174,00127158,8073476
210,210,20210316000330,00454946,7877672
211,211,20210315000628,00220969,7874920
212,212,20210317000060,00785475,7881774
213,213,20210318000933,00117027,7891906
214,214,20210323000355,00843900,7908809
215,215,20210330001659,00530413,7933149
216,216,20210316000210,00956028,7877340
217,217,20210324000788,01245062,7915616
218,218,20201130000858,01394377,7596342
219,219,20210322000704,00539274,7904662
220,220,20210318001184,00796994,7893443
221,221,20210318001183,00191472,7893433
222,222,20210318000260,01325979,7888489
223,223,20200629000481,01041828,7392078
224,224,20210318001249,01416235,7893835
225,225,20210322001012,00159698,7906418
226,226,20210318001301,00628189,7894210
227,227,20210720000251,01511558,8148727
228,228,20210311000742,00646732,7867256
229,229,20210316000282,00115065,7877550
230,230,20210323000713,00458234,7910445
231,231,20210218000003,00164706,7807996
232,232,20210322000649,00625942,7904318
233,233,20210315000724,00124276,7875198
234,234,20210318000961,01009789,7892072
235,235,20210315000733,00656951,7875236
236,236,20210331000615,00102113,7935270
237,237,20210326001276,00133618,7923151
238,238,20220318001096,00168331,8479605
239,239,20210318001136,00153755,7893118
240,240,20210319001280,00612294,7900843
241,241,20210311000765,00407285,7867358
242,242,20210317000465,00129509,7883135
243,243,20210322001112,00305570,7907067
244,244,20210317000257,00287788,7882376
