corp_code,corp_name,stock_code,modify_date,ss,,,new_corp_code,,,
394574,티이씨,67950,20170630,6,00,0,00394574,,,
110176,한국기술산업,8320,20170630,6,00,0,00110176,,,
349787,지케이파워,54020,20170630,6,00,0,00349787,,,
136554,스타맥스,17050,20170630,6,00,0,00136554,,,
144562,유성티에스아이,24870,20170630,6,00,0,00144562,,,
370547,네오리소스,58550,20170630,6,00,0,00370547,,,
242439,케이알,35950,20170630,6,00,0,00242439,,,
134060,씨앤상선,790,20170630,6,00,0,00134060,,,
392600,투미비티,58900,20170630,6,00,0,00392600,,,
259855,코아정보시스템,39990,20170630,6,00,0,00259855,,,
385451,케이에스리소스,66340,20170630,6,00,0,00385451,,,
258944,세계투어,47600,20170630,6,00,0,00258944,,,
798530,동양밸류오션기업인수목적,122290,20170630,6,00,0,00798530,,,
451268,케이이엔지,77960,20170630,6,00,0,00451268,,,
336570,사이버패스,63280,20170630,6,00,0,00336570,,,
363325,산양전기,79870,20170630,6,00,0,00363325,,,
148188,으뜸상호저축은행,32150,20170630,6,00,0,00148188,,,
508566,국제개발,80570,20170630,6,00,0,00508566,,,
133928,세신,4230,20170630,6,00,0,00133928,,,
540784,골든브릿지더블유엠경매부동산일호투자회사,84160,20170630,6,00,0,00540784,,,
298252,엘앤피아너스,61140,20170630,6,00,0,00298252,,,
264556,에이스일렉트로닉스,38690,20170630,6,00,0,00264556,,,
581000,디앤샵,90090,20170630,6,00,0,00581000,,,
359094,더체인지,54120,20170630,6,00,0,00359094,,,
686970,다산자기관리부동산투자회사,105380,20170630,6,00,0,00686970,,,
255309,써니트렌드,35500,20170630,6,00,0,00255309,,,
362380,뉴젠비아이티,54650,20170630,6,00,0,00362380,,,
244862,룩소네이트,33880,20170630,6,00,0,00244862,,,
301015,한서제약,44070,20170630,6,00,0,00301015,,,
297165,현대오토넷,42100,20170630,6,00,0,00297165,,,
105767,LG마이크론,16990,20170630,6,00,0,00105767,,,
173397,서광건설산업,1600,20170630,6,00,0,00173397,,,
259606,플러스프로핏,36660,20170630,6,00,0,00259606,,,
178471,한와이어리스,37020,20170630,6,00,0,00178471,,,
331733,포휴먼,49690,20170630,6,00,0,00331733,,,
104892,알이네트웍스,23670,20170630,6,00,0,00104892,,,
647917,케이알제2호개발전문위탁관리부동산투자회사,101790,20170630,6,00,0,00647917,,,
597764,미래에셋맵스오퍼튜니티베트남주식혼합형투자회사1호,94520,20170630,6,00,0,00597764,,,
355821,씨티엘테크,88960,20170630,6,00,0,00355821,,,
329677,이디디컴퍼니,52650,20170630,6,00,0,00329677,,,
244871,케이티프리텔,32390,20170630,6,00,0,00244871,,,
246383,메카포럼,35830,20170630,6,00,0,00246383,,,
345499,에스피코프,48130,20170630,6,00,0,00345499,,,
348140,이롬텍,45400,20170630,6,00,0,00348140,,,
215107,이앤텍,47450,20170630,6,00,0,00215107,,,
106508,기린,6070,20170630,6,00,0,00106508,,,
560991,맥스브로,88810,20170630,6,00,0,00560991,,,
265263,토자이홀딩스,37700,20170630,6,00,0,00265263,,,
142564,우방,13200,20170630,6,00,0,00142564,,,
198572,동양매직,23020,20170630,6,00,0,00198572,,,
642648,코웰이홀딩스유한공사,900020,20170630,6,00,0,00642648,,,
537443,아구스,78670,20170630,6,00,0,00537443,,,
